,Processed File Name,Group,Year,geoBoundaryType,Boundary Level,Source 1,Source 2,License,License Detail,License Source,Link to Source Data-inaccurate; has some links to licenses,Link to Source Data,Recorder (Name),Last Updated Date
67,BOL_ADM1.zip,Bolivia,2015,Open & Authoritative,ADM 1,GeoBolivia,Derived from ADM3 layer,Public Domain,"Public Domain; ""free use and access to information""",https://geo.gob.bo/geonetwork/srv/spa/catalog.search#/metadata/aeeb85a9-23df-48d4-a4e5-dd19e8b206db,No,https://geo.gob.bo/geonetwork/srv/spa/catalog.search#/metadata/aeeb85a9-23df-48d4-a4e5-dd19e8b206db,,5/25/2020
68,BOL_ADM2.zip,Bolivia,2015,Open & Authoritative,ADM 2,GeoBolivia,Derived from ADM3 layer,Public Domain,"Public Domain; ""free use and access to information""",https://geo.gob.bo/geonetwork/srv/spa/catalog.search#/metadata/aeeb85a9-23df-48d4-a4e5-dd19e8b206db,No,https://geo.gob.bo/geonetwork/srv/spa/catalog.search#/metadata/aeeb85a9-23df-48d4-a4e5-dd19e8b206db,,5/25/2020
69,BOL_ADM3.zip,Bolivia,2015,Open & Authoritative,ADM 3,GeoBolivia,,Public Domain,"Public Domain; ""free use and access to information""",https://geo.gob.bo/geonetwork/srv/spa/catalog.search#/metadata/aeeb85a9-23df-48d4-a4e5-dd19e8b206db,No,https://geo.gob.bo/geonetwork/srv/spa/catalog.search#/metadata/aeeb85a9-23df-48d4-a4e5-dd19e8b206db,,5/25/2020
70,BIH_ADM0.zip,Bosnia and Herzegovina,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/2020
71,BIH_ADM1.zip,Bosnia and Herzegovina,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/2020
72,BIH_ADM2.zip,Bosnia and Herzegovina,2014,Open,ADM 2,Codrina Maria Ille,Datahub,Creative Commons Attribution 4.0 International (CC BY 4.0),Creative Commons Attribution 4.0 International (CC BY 4.0),https://old.datahub.io/dataset/bosnia-and-herzegovina-municipalities/resource/7a0be509-53e2-41d1-840a-b6391cc012d0,No,https://old.datahub.io/dataset/bosnia-and-herzegovina-municipalities,,5/25/2020
73,BWA_ADM0.zip,Botswana,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/2020
74,BWA_ADM1.zip,Botswana,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/2020
75,BWA_ADM2.zip,Botswana,2015,Open & Humanitarian,ADM2,RCMRD,,Public Domain,PD,http://geoportal.rcmrd.org/layers/servir%3Abotswana_adm2#license-more-above,No,http://geoportal.rcmrd.org/layers/servir%3Abotswana_adm2#more,,5/25/2020
76,BRA_ADM0.zip,Brazil,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/2020
77,BRA_ADM1.zip,Brazil,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/2020
78,BRA_ADM2.zip,Brazil,2017,Open,ADM 2,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/2020
79,BRN_ADM0.zip,Brunei Darussalam,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/2020
80,BRN_ADM1.zip,Brunei Darussalam,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/2020
81,BRN_ADM2.zip,Brunei Darussalam,2006,Open,ADM 2,IFAD,,Open Data Commons Open Database License 1.0,,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/2020
82,BGR_ADM0.zip,Bulgaria,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/2020
83,BGR_ADM1.zip,Bulgaria,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/2020
84,BGR_ADM2.zip,Bulgaria,2017,Open,ADM 2,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/2020
85,BFA_ADM0.zip,Burkina Faso,2017,Open & Humanitarian,ADM 0,"Second Administrative Level Boundaries Project (SALB), Institut G̩ographique du Burkina Faso (IGB)",United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (Regional Office for West and Central Africa (ROWCA)),Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO),Creative Commons Attribution for Intergovernmental Organizations,https://data.humdata.org/dataset/burkina-faso-administrative-boundaries,No,https://data.humdata.org/dataset/burkina-faso-administrative-boundaries,,5/25/2020
86,BFA_ADM1.zip,Burkina Faso,2017,Open & Humanitarian,ADM 1,"Second Administrative Level Boundaries Project (SALB), Institut G̩ographique du Burkina Faso (IGB)",United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (Regional Office for West and Central Africa (ROWCA)),Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO),Creative Commons Attribution for Intergovernmental Organizations,https://data.humdata.org/dataset/burkina-faso-administrative-boundaries,No,https://data.humdata.org/dataset/burkina-faso-administrative-boundaries,,5/25/2020
87,BFA_ADM2.zip,Burkina Faso,2017,Open & Humanitarian,ADM 2,"Second Administrative Level Boundaries Project (SALB), Institut G̩ographique du Burkina Faso (IGB)",United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (Regional Office for West and Central Africa (ROWCA)),Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO),Creative Commons Attribution for Intergovernmental Organizations,https://data.humdata.org/dataset/burkina-faso-administrative-boundaries,No,https://data.humdata.org/dataset/burkina-faso-administrative-boundaries,,5/25/2020
88,BFA_ADM3.zip,Burkina Faso,2007,Open,ADM 3,"New York University Spatial Data Repository, Stanford University",Map Maker Limited,Public Domain,License on metadata pop-up on source page,https://geo.nyu.edu/catalog/stanford-bv378fk8507,No,https://geo.nyu.edu/catalog/stanford-bv378fk8507,,5/25/2020
89,BDI_ADM0.zip,Burundi,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/2020
90,BDI_ADM1.zip,Burundi,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/2020
91,BDI_ADM2.zip,Burundi,2007,Open,ADM 2,"New York University Spatial Data Repository, Stanford University",Map Maker Limited,Public Domain,License on metadata pop-up on source page,https://geo.nyu.edu/catalog/stanford-th822mn7301#iso-metadata-reference-info,No,https://geo.nyu.edu/catalog/stanford-th822mn7301,,5/25/2020
92,KHM_ADM0.zip,Cambodia,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/2020
93,KHM_ADM1.zip,Cambodia,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/2020
94,KHM_ADM2.zip,Cambodia,2014,Open,ADM 2,Open Development Mekong,Open Development Cambodia,Creative Commons Attribution 4.0 International (CC BY 4.0),Creative Commons,https://opendevelopmentcambodia.net/dataset/?id=administrative-boundaries-of-cambodia-2014,No,https://opendevelopmentcambodia.net/dataset/?id=administrative-boundaries-of-cambodia-2014,,5/25/2020
95,KHM_ADM3.zip,Cambodia,2014,Open,ADM 3,Open Development Mekong,Open Development Cambodia,Creative Commons Attribution 4.0 International (CC BY 4.0),Creative Commons,https://opendevelopmentcambodia.net/dataset/?id=administrative-boundaries-of-cambodia-2014,No,https://opendevelopmentcambodia.net/dataset/?id=administrative-boundaries-of-cambodia-2014,,5/25/2020
96,CMR_ADM0.zip,Cameroon,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/2020
97,CMR_ADM1.zip,Cameroon,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/2020
98,CMR_ADM2.zip,Cameroon,2017,Open,ADM 2,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/2020
99,CMR_ADM3.zip,Cameroon,2017,Open,ADM 3,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/2020
100,CAN_ADM0.zip,Canada,2020,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/2020
101,CAN_ADM1.zip,Canada,2020,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/2020
102,CAN_ADM2.zip,Canada,2016,Open & Authoritative,ADM 2,Statistics Canada (StatCan),,Open Data Commons Open Database License 1.0,"Statistics Canada Open License Agreement, http://www.statcan.gc.ca/eng/reference/licence",https://www.statcan.gc.ca/eng/reference/licence,No,http://www12.statcan.gc.ca/census-recensement/2011/geo/bound-limit/bound-limit-2016-eng.cfm,,5/25/2020
103,CAN_ADM3.zip,Canada,2016,Open & Authoritative,ADM 3,Statistics Canada (StatCan),,Open Data Commons Open Database License 1.0,"Statistics Canada Open License Agreement, http://www.statcan.gc.ca/eng/reference/licence",https://www.statcan.gc.ca/eng/reference/licence,No,http://www12.statcan.gc.ca/census-recensement/2011/geo/bound-limit/bound-limit-2016-eng.cfm,,5/25/2020
104,CPV_ADM0.zip,Cape Verde,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/2020
105,CPV_ADM1.zip,Cape Verde,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/2020
111,CAF_ADM0.zip,Central African Republic,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/2020
112,CAF_ADM1.zip,Central African Republic,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/2020
115,TCD_ADM0.zip,Chad,2017,Open,ADM 0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/2020
116,TCD_ADM1.zip,Chad,2017,Open,ADM 1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,No,https://wambachers-osm.website/boundaries/,,5/25/2020
