column_0,dstid,sourceid,day,total_records,total_duration,total_squares_duration,total_log_duration,total_squares_log_duration,geoid10,X_geojson,day1_geom,day2_geom
139,104,567,12,14,17435,26492917,98.4424200453112,694.718929127189,42003110200,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.928549,40.475209],[-79.928123,40.476601],[-79.927573,40.480768],[-79.927362,40.480693],[-79.925575,40.480069],[-79.922382,40.479474],[-79.919706,40.479735],[-79.916175,40.47848],[-79.917873,40.475913],[-79.918786,40.474502],[-79.919192,40.473667],[-79.919739,40.472489],[-79.921025,40.46969],[-79.926277,40.471522],[-79.928349,40.472318],[-79.9283,40.47418],[-79.928549,40.475209]]]]},""properties"":{""MOVEMENT_ID"":""104"",""DISPLAY_NAME"":""1100 Portland Street, Highland Park, Pittsburgh"",""GEOID10"":""42003110200""}}","{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.928549,40.475209],[-79.928123,40.476601],[-79.927573,40.480768],[-79.927362,40.480693],[-79.925575,40.480069],[-79.922382,40.479474],[-79.919706,40.479735],[-79.916175,40.47848],[-79.917873,40.475913],[-79.918786,40.474502],[-79.919192,40.473667],[-79.919739,40.472489],[-79.921025,40.46969],[-79.926277,40.471522],[-79.928349,40.472318],[-79.9283,40.47418],[-79.928549,40.475209]]]]},""properties"":{""MOVEMENT_ID"":""104"",""DISPLAY_NAME"":""1100 Portland Street, Highland Park, Pittsburgh"",""GEOID10"":""42003110200""}}",
140,105,567,5,12,14012,19350996,83.9022357528403,588.151341645037,42003120400,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.916161,40.466991],[-79.914605,40.46741],[-79.909546,40.470181],[-79.908622,40.470281],[-79.908728,40.467348],[-79.908028,40.466237],[-79.905932,40.463372],[-79.905617,40.462596],[-79.906637,40.462058],[-79.907125,40.461839],[-79.909789,40.461056],[-79.912301,40.463327],[-79.915527,40.466176],[-79.916161,40.466991]]]]},""properties"":{""MOVEMENT_ID"":""105"",""DISPLAY_NAME"":""6300 Rapidan Way, Larimer, Pittsburgh"",""GEOID10"":""42003120400""}}",,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.916161,40.466991],[-79.914605,40.46741],[-79.909546,40.470181],[-79.908622,40.470281],[-79.908728,40.467348],[-79.908028,40.466237],[-79.905932,40.463372],[-79.905617,40.462596],[-79.906637,40.462058],[-79.907125,40.461839],[-79.909789,40.461056],[-79.912301,40.463327],[-79.915527,40.466176],[-79.916161,40.466991]]]]},""properties"":{""MOVEMENT_ID"":""105"",""DISPLAY_NAME"":""6300 Rapidan Way, Larimer, Pittsburgh"",""GEOID10"":""42003120400""}}"
141,105,567,12,6,8142,14730852,42.5672103043871,303.187621744035,42003120400,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.916161,40.466991],[-79.914605,40.46741],[-79.909546,40.470181],[-79.908622,40.470281],[-79.908728,40.467348],[-79.908028,40.466237],[-79.905932,40.463372],[-79.905617,40.462596],[-79.906637,40.462058],[-79.907125,40.461839],[-79.909789,40.461056],[-79.912301,40.463327],[-79.915527,40.466176],[-79.916161,40.466991]]]]},""properties"":{""MOVEMENT_ID"":""105"",""DISPLAY_NAME"":""6300 Rapidan Way, Larimer, Pittsburgh"",""GEOID10"":""42003120400""}}","{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.916161,40.466991],[-79.914605,40.46741],[-79.909546,40.470181],[-79.908622,40.470281],[-79.908728,40.467348],[-79.908028,40.466237],[-79.905932,40.463372],[-79.905617,40.462596],[-79.906637,40.462058],[-79.907125,40.461839],[-79.909789,40.461056],[-79.912301,40.463327],[-79.915527,40.466176],[-79.916161,40.466991]]]]},""properties"":{""MOVEMENT_ID"":""105"",""DISPLAY_NAME"":""6300 Rapidan Way, Larimer, Pittsburgh"",""GEOID10"":""42003120400""}}",
142,106,567,5,85,62987,54400021,556.504794930275,3652.75224943506,42003140200,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.937291,40.447792],[-79.935802,40.447911],[-79.934205,40.4484],[-79.929646,40.449827],[-79.928437,40.450212],[-79.925787,40.451201],[-79.923971,40.451932],[-79.922075,40.452686],[-79.920712,40.452894],[-79.92023,40.451218],[-79.921576,40.44767],[-79.920513,40.443851],[-79.92539,40.444005],[-79.927925,40.444121],[-79.930237,40.445197],[-79.934012,40.44685],[-79.936387,40.447534],[-79.937291,40.447792]]]]},""properties"":{""MOVEMENT_ID"":""106"",""DISPLAY_NAME"":""1100 Murray Hill Avenue, Squirrel Hill North, Pittsburgh"",""GEOID10"":""42003140200""}}",,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.937291,40.447792],[-79.935802,40.447911],[-79.934205,40.4484],[-79.929646,40.449827],[-79.928437,40.450212],[-79.925787,40.451201],[-79.923971,40.451932],[-79.922075,40.452686],[-79.920712,40.452894],[-79.92023,40.451218],[-79.921576,40.44767],[-79.920513,40.443851],[-79.92539,40.444005],[-79.927925,40.444121],[-79.930237,40.445197],[-79.934012,40.44685],[-79.936387,40.447534],[-79.937291,40.447792]]]]},""properties"":{""MOVEMENT_ID"":""106"",""DISPLAY_NAME"":""1100 Murray Hill Avenue, Squirrel Hill North, Pittsburgh"",""GEOID10"":""42003140200""}}"
143,106,567,12,109,97813,101037765,733.370841693587,4949.68445113912,42003140200,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.937291,40.447792],[-79.935802,40.447911],[-79.934205,40.4484],[-79.929646,40.449827],[-79.928437,40.450212],[-79.925787,40.451201],[-79.923971,40.451932],[-79.922075,40.452686],[-79.920712,40.452894],[-79.92023,40.451218],[-79.921576,40.44767],[-79.920513,40.443851],[-79.92539,40.444005],[-79.927925,40.444121],[-79.930237,40.445197],[-79.934012,40.44685],[-79.936387,40.447534],[-79.937291,40.447792]]]]},""properties"":{""MOVEMENT_ID"":""106"",""DISPLAY_NAME"":""1100 Murray Hill Avenue, Squirrel Hill North, Pittsburgh"",""GEOID10"":""42003140200""}}","{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.937291,40.447792],[-79.935802,40.447911],[-79.934205,40.4484],[-79.929646,40.449827],[-79.928437,40.450212],[-79.925787,40.451201],[-79.923971,40.451932],[-79.922075,40.452686],[-79.920712,40.452894],[-79.92023,40.451218],[-79.921576,40.44767],[-79.920513,40.443851],[-79.92539,40.444005],[-79.927925,40.444121],[-79.930237,40.445197],[-79.934012,40.44685],[-79.936387,40.447534],[-79.937291,40.447792]]]]},""properties"":{""MOVEMENT_ID"":""106"",""DISPLAY_NAME"":""1100 Murray Hill Avenue, Squirrel Hill North, Pittsburgh"",""GEOID10"":""42003140200""}}",
144,107,567,12,71,59757,67837631,467.863767307167,3102.22911836432,42003140800,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.923142,40.432354],[-79.922833,40.434754],[-79.922984,40.438056],[-79.919359,40.438041],[-79.916145,40.438036],[-79.913083,40.438028],[-79.911475,40.438013],[-79.909082,40.437051],[-79.909072,40.433968],[-79.915105,40.431393],[-79.915334,40.429887],[-79.907464,40.426485],[-79.912489,40.426473],[-79.914853,40.428018],[-79.915556,40.427877],[-79.921199,40.429171],[-79.923485,40.429738],[-79.923142,40.432354]]]]},""properties"":{""MOVEMENT_ID"":""107"",""DISPLAY_NAME"":""2100 Shady Avenue, Squirrel Hill South, Pittsburgh"",""GEOID10"":""42003140800""}}","{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.923142,40.432354],[-79.922833,40.434754],[-79.922984,40.438056],[-79.919359,40.438041],[-79.916145,40.438036],[-79.913083,40.438028],[-79.911475,40.438013],[-79.909082,40.437051],[-79.909072,40.433968],[-79.915105,40.431393],[-79.915334,40.429887],[-79.907464,40.426485],[-79.912489,40.426473],[-79.914853,40.428018],[-79.915556,40.427877],[-79.921199,40.429171],[-79.923485,40.429738],[-79.923142,40.432354]]]]},""properties"":{""MOVEMENT_ID"":""107"",""DISPLAY_NAME"":""2100 Shady Avenue, Squirrel Hill South, Pittsburgh"",""GEOID10"":""42003140800""}}",
145,107,567,5,65,50891,53500051,423.899903761419,2781.84183717394,42003140800,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.923142,40.432354],[-79.922833,40.434754],[-79.922984,40.438056],[-79.919359,40.438041],[-79.916145,40.438036],[-79.913083,40.438028],[-79.911475,40.438013],[-79.909082,40.437051],[-79.909072,40.433968],[-79.915105,40.431393],[-79.915334,40.429887],[-79.907464,40.426485],[-79.912489,40.426473],[-79.914853,40.428018],[-79.915556,40.427877],[-79.921199,40.429171],[-79.923485,40.429738],[-79.923142,40.432354]]]]},""properties"":{""MOVEMENT_ID"":""107"",""DISPLAY_NAME"":""2100 Shady Avenue, Squirrel Hill South, Pittsburgh"",""GEOID10"":""42003140800""}}",,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.923142,40.432354],[-79.922833,40.434754],[-79.922984,40.438056],[-79.919359,40.438041],[-79.916145,40.438036],[-79.913083,40.438028],[-79.911475,40.438013],[-79.909082,40.437051],[-79.909072,40.433968],[-79.915105,40.431393],[-79.915334,40.429887],[-79.907464,40.426485],[-79.912489,40.426473],[-79.914853,40.428018],[-79.915556,40.427877],[-79.921199,40.429171],[-79.923485,40.429738],[-79.923142,40.432354]]]]},""properties"":{""MOVEMENT_ID"":""107"",""DISPLAY_NAME"":""2100 Shady Avenue, Squirrel Hill South, Pittsburgh"",""GEOID10"":""42003140800""}}"
146,108,567,12,391,211570,147467528,2398.15883768086,14861.4620537493,42003170200,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.998968,40.429525],[-79.996651,40.432793],[-79.996572,40.4329],[-79.994077,40.432629],[-79.993415,40.432558],[-79.990176,40.432209],[-79.989071,40.432313],[-79.981381,40.433474],[-79.97915,40.433811],[-79.975827,40.434315],[-79.973502,40.433877],[-79.974394,40.430852],[-79.975817,40.431756],[-79.976265,40.428506],[-79.976607,40.425126],[-79.982592,40.425477],[-79.985594,40.425681],[-79.986272,40.425753],[-79.987487,40.426051],[-79.988546,40.426477],[-79.997165,40.428898],[-79.998968,40.429525]]]]},""properties"":{""MOVEMENT_ID"":""108"",""DISPLAY_NAME"":""0 South 18th Street, South Side Flats, Pittsburgh"",""GEOID10"":""42003170200""}}","{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.998968,40.429525],[-79.996651,40.432793],[-79.996572,40.4329],[-79.994077,40.432629],[-79.993415,40.432558],[-79.990176,40.432209],[-79.989071,40.432313],[-79.981381,40.433474],[-79.97915,40.433811],[-79.975827,40.434315],[-79.973502,40.433877],[-79.974394,40.430852],[-79.975817,40.431756],[-79.976265,40.428506],[-79.976607,40.425126],[-79.982592,40.425477],[-79.985594,40.425681],[-79.986272,40.425753],[-79.987487,40.426051],[-79.988546,40.426477],[-79.997165,40.428898],[-79.998968,40.429525]]]]},""properties"":{""MOVEMENT_ID"":""108"",""DISPLAY_NAME"":""0 South 18th Street, South Side Flats, Pittsburgh"",""GEOID10"":""42003170200""}}",
147,108,567,5,285,132479,81293251,1708.57186836606,10336.0573090646,42003170200,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.998968,40.429525],[-79.996651,40.432793],[-79.996572,40.4329],[-79.994077,40.432629],[-79.993415,40.432558],[-79.990176,40.432209],[-79.989071,40.432313],[-79.981381,40.433474],[-79.97915,40.433811],[-79.975827,40.434315],[-79.973502,40.433877],[-79.974394,40.430852],[-79.975817,40.431756],[-79.976265,40.428506],[-79.976607,40.425126],[-79.982592,40.425477],[-79.985594,40.425681],[-79.986272,40.425753],[-79.987487,40.426051],[-79.988546,40.426477],[-79.997165,40.428898],[-79.998968,40.429525]]]]},""properties"":{""MOVEMENT_ID"":""108"",""DISPLAY_NAME"":""0 South 18th Street, South Side Flats, Pittsburgh"",""GEOID10"":""42003170200""}}",,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.998968,40.429525],[-79.996651,40.432793],[-79.996572,40.4329],[-79.994077,40.432629],[-79.993415,40.432558],[-79.990176,40.432209],[-79.989071,40.432313],[-79.981381,40.433474],[-79.97915,40.433811],[-79.975827,40.434315],[-79.973502,40.433877],[-79.974394,40.430852],[-79.975817,40.431756],[-79.976265,40.428506],[-79.976607,40.425126],[-79.982592,40.425477],[-79.985594,40.425681],[-79.986272,40.425753],[-79.987487,40.426051],[-79.988546,40.426477],[-79.997165,40.428898],[-79.998968,40.429525]]]]},""properties"":{""MOVEMENT_ID"":""108"",""DISPLAY_NAME"":""0 South 18th Street, South Side Flats, Pittsburgh"",""GEOID10"":""42003170200""}}"
148,109,567,5,25,19817,17308969,165.83169429247,1101.9620348297,42003191800,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.030698,40.395351],[-80.027524,40.394225],[-80.026355,40.394269],[-80.02431,40.395315],[-80.023662,40.39623],[-80.021546,40.394849],[-80.017738,40.392116],[-80.01671,40.391809],[-80.015267,40.391899],[-80.013137,40.392156],[-80.009358,40.392361],[-80.008721,40.392161],[-80.009803,40.390839],[-80.00847,40.390104],[-80.007424,40.388836],[-80.007685,40.387224],[-80.006004,40.383814],[-80.006326,40.383472],[-80.007676,40.383012],[-80.007632,40.381122],[-80.012579,40.380889],[-80.013819,40.386562],[-80.016874,40.385969],[-80.017108,40.386314],[-80.018159,40.38645],[-80.021313,40.388118],[-80.022006,40.388491],[-80.026478,40.39085],[-80.027778,40.39155],[-80.028696,40.391296],[-80.029356,40.392477],[-80.030327,40.39422],[-80.030698,40.395351]]]]},""properties"":{""MOVEMENT_ID"":""109"",""DISPLAY_NAME"":""1700 Creedmoor Avenue, Brookline, Pittsburgh"",""GEOID10"":""42003191800""}}",,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.030698,40.395351],[-80.027524,40.394225],[-80.026355,40.394269],[-80.02431,40.395315],[-80.023662,40.39623],[-80.021546,40.394849],[-80.017738,40.392116],[-80.01671,40.391809],[-80.015267,40.391899],[-80.013137,40.392156],[-80.009358,40.392361],[-80.008721,40.392161],[-80.009803,40.390839],[-80.00847,40.390104],[-80.007424,40.388836],[-80.007685,40.387224],[-80.006004,40.383814],[-80.006326,40.383472],[-80.007676,40.383012],[-80.007632,40.381122],[-80.012579,40.380889],[-80.013819,40.386562],[-80.016874,40.385969],[-80.017108,40.386314],[-80.018159,40.38645],[-80.021313,40.388118],[-80.022006,40.388491],[-80.026478,40.39085],[-80.027778,40.39155],[-80.028696,40.391296],[-80.029356,40.392477],[-80.030327,40.39422],[-80.030698,40.395351]]]]},""properties"":{""MOVEMENT_ID"":""109"",""DISPLAY_NAME"":""1700 Creedmoor Avenue, Brookline, Pittsburgh"",""GEOID10"":""42003191800""}}"
149,109,567,12,13,13977,20241179,89.1603657092525,614.218441961677,42003191800,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.030698,40.395351],[-80.027524,40.394225],[-80.026355,40.394269],[-80.02431,40.395315],[-80.023662,40.39623],[-80.021546,40.394849],[-80.017738,40.392116],[-80.01671,40.391809],[-80.015267,40.391899],[-80.013137,40.392156],[-80.009358,40.392361],[-80.008721,40.392161],[-80.009803,40.390839],[-80.00847,40.390104],[-80.007424,40.388836],[-80.007685,40.387224],[-80.006004,40.383814],[-80.006326,40.383472],[-80.007676,40.383012],[-80.007632,40.381122],[-80.012579,40.380889],[-80.013819,40.386562],[-80.016874,40.385969],[-80.017108,40.386314],[-80.018159,40.38645],[-80.021313,40.388118],[-80.022006,40.388491],[-80.026478,40.39085],[-80.027778,40.39155],[-80.028696,40.391296],[-80.029356,40.392477],[-80.030327,40.39422],[-80.030698,40.395351]]]]},""properties"":{""MOVEMENT_ID"":""109"",""DISPLAY_NAME"":""1700 Creedmoor Avenue, Brookline, Pittsburgh"",""GEOID10"":""42003191800""}}","{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.030698,40.395351],[-80.027524,40.394225],[-80.026355,40.394269],[-80.02431,40.395315],[-80.023662,40.39623],[-80.021546,40.394849],[-80.017738,40.392116],[-80.01671,40.391809],[-80.015267,40.391899],[-80.013137,40.392156],[-80.009358,40.392361],[-80.008721,40.392161],[-80.009803,40.390839],[-80.00847,40.390104],[-80.007424,40.388836],[-80.007685,40.387224],[-80.006004,40.383814],[-80.006326,40.383472],[-80.007676,40.383012],[-80.007632,40.381122],[-80.012579,40.380889],[-80.013819,40.386562],[-80.016874,40.385969],[-80.017108,40.386314],[-80.018159,40.38645],[-80.021313,40.388118],[-80.022006,40.388491],[-80.026478,40.39085],[-80.027778,40.39155],[-80.028696,40.391296],[-80.029356,40.392477],[-80.030327,40.39422],[-80.030698,40.395351]]]]},""properties"":{""MOVEMENT_ID"":""109"",""DISPLAY_NAME"":""1700 Creedmoor Avenue, Brookline, Pittsburgh"",""GEOID10"":""42003191800""}}",
150,110,567,12,32,16650,9841676,196.437831543052,1218.04409747376,42003250300,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.01642,40.459273],[-80.012951,40.460208],[-80.010324,40.459887],[-80.008736,40.461217],[-80.008149,40.459228],[-80.007764,40.458855],[-80.008334,40.457499],[-80.015391,40.456234],[-80.01642,40.459273]]]]},""properties"":{""MOVEMENT_ID"":""110"",""DISPLAY_NAME"":""500 Armandale Street, Central Northside, Pittsburgh"",""GEOID10"":""42003250300""}}","{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.01642,40.459273],[-80.012951,40.460208],[-80.010324,40.459887],[-80.008736,40.461217],[-80.008149,40.459228],[-80.007764,40.458855],[-80.008334,40.457499],[-80.015391,40.456234],[-80.01642,40.459273]]]]},""properties"":{""MOVEMENT_ID"":""110"",""DISPLAY_NAME"":""500 Armandale Street, Central Northside, Pittsburgh"",""GEOID10"":""42003250300""}}",
151,110,567,5,31,15941,10075397,190.704747865817,1178.3996927321,42003250300,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.01642,40.459273],[-80.012951,40.460208],[-80.010324,40.459887],[-80.008736,40.461217],[-80.008149,40.459228],[-80.007764,40.458855],[-80.008334,40.457499],[-80.015391,40.456234],[-80.01642,40.459273]]]]},""properties"":{""MOVEMENT_ID"":""110"",""DISPLAY_NAME"":""500 Armandale Street, Central Northside, Pittsburgh"",""GEOID10"":""42003250300""}}",,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.01642,40.459273],[-80.012951,40.460208],[-80.010324,40.459887],[-80.008736,40.461217],[-80.008149,40.459228],[-80.007764,40.458855],[-80.008334,40.457499],[-80.015391,40.456234],[-80.01642,40.459273]]]]},""properties"":{""MOVEMENT_ID"":""110"",""DISPLAY_NAME"":""500 Armandale Street, Central Northside, Pittsburgh"",""GEOID10"":""42003250300""}}"
152,111,567,5,1,1535,2356225,7.3362856600213,53.8210872854341,42003401300,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.75657,40.611835],[-79.742398,40.626813],[-79.735185,40.634517],[-79.734078,40.632658],[-79.730794,40.630901],[-79.728243,40.629516],[-79.726627,40.629338],[-79.722112,40.629457],[-79.722027,40.627204],[-79.721358,40.626701],[-79.723833,40.624276],[-79.728534,40.621061],[-79.731144,40.618966],[-79.732177,40.618303],[-79.732862,40.617919],[-79.738711,40.61558],[-79.743432,40.613567],[-79.743542,40.613439],[-79.74724,40.61097],[-79.749571,40.611227],[-79.751053,40.608855],[-79.754163,40.609877],[-79.755857,40.60903],[-79.75699,40.611024],[-79.75657,40.611835]]]]},""properties"":{""MOVEMENT_ID"":""111"",""DISPLAY_NAME"":""1500 Montana Avenue, Campton, Natrona Heights"",""GEOID10"":""42003401300""}}",,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.75657,40.611835],[-79.742398,40.626813],[-79.735185,40.634517],[-79.734078,40.632658],[-79.730794,40.630901],[-79.728243,40.629516],[-79.726627,40.629338],[-79.722112,40.629457],[-79.722027,40.627204],[-79.721358,40.626701],[-79.723833,40.624276],[-79.728534,40.621061],[-79.731144,40.618966],[-79.732177,40.618303],[-79.732862,40.617919],[-79.738711,40.61558],[-79.743432,40.613567],[-79.743542,40.613439],[-79.74724,40.61097],[-79.749571,40.611227],[-79.751053,40.608855],[-79.754163,40.609877],[-79.755857,40.60903],[-79.75699,40.611024],[-79.75657,40.611835]]]]},""properties"":{""MOVEMENT_ID"":""111"",""DISPLAY_NAME"":""1500 Montana Avenue, Campton, Natrona Heights"",""GEOID10"":""42003401300""}}"
153,111,567,12,3,4387,6754649,21.789986044634,158.408363915825,42003401300,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.75657,40.611835],[-79.742398,40.626813],[-79.735185,40.634517],[-79.734078,40.632658],[-79.730794,40.630901],[-79.728243,40.629516],[-79.726627,40.629338],[-79.722112,40.629457],[-79.722027,40.627204],[-79.721358,40.626701],[-79.723833,40.624276],[-79.728534,40.621061],[-79.731144,40.618966],[-79.732177,40.618303],[-79.732862,40.617919],[-79.738711,40.61558],[-79.743432,40.613567],[-79.743542,40.613439],[-79.74724,40.61097],[-79.749571,40.611227],[-79.751053,40.608855],[-79.754163,40.609877],[-79.755857,40.60903],[-79.75699,40.611024],[-79.75657,40.611835]]]]},""properties"":{""MOVEMENT_ID"":""111"",""DISPLAY_NAME"":""1500 Montana Avenue, Campton, Natrona Heights"",""GEOID10"":""42003401300""}}","{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-79.75657,40.611835],[-79.742398,40.626813],[-79.735185,40.634517],[-79.734078,40.632658],[-79.730794,40.630901],[-79.728243,40.629516],[-79.726627,40.629338],[-79.722112,40.629457],[-79.722027,40.627204],[-79.721358,40.626701],[-79.723833,40.624276],[-79.728534,40.621061],[-79.731144,40.618966],[-79.732177,40.618303],[-79.732862,40.617919],[-79.738711,40.61558],[-79.743432,40.613567],[-79.743542,40.613439],[-79.74724,40.61097],[-79.749571,40.611227],[-79.751053,40.608855],[-79.754163,40.609877],[-79.755857,40.60903],[-79.75699,40.611024],[-79.75657,40.611835]]]]},""properties"":{""MOVEMENT_ID"":""111"",""DISPLAY_NAME"":""1500 Montana Avenue, Campton, Natrona Heights"",""GEOID10"":""42003401300""}}",
154,112,567,12,11,10840,11523650,75.415007979864,517.835058680876,42003413300,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.065735,40.566642],[-80.061249,40.564738],[-80.06054,40.56307],[-80.059566,40.564132],[-80.05989,40.567459],[-80.056998,40.568667],[-80.054406,40.566157],[-80.052609,40.565857],[-80.049522,40.567971],[-80.048572,40.567227],[-80.044356,40.566765],[-80.04364,40.566496],[-80.039408,40.561063],[-80.036953,40.571939],[-80.023515,40.572129],[-80.023383,40.570362],[-80.024473,40.566171],[-80.025206,40.563312],[-80.025127,40.561757],[-80.024649,40.560488],[-80.020866,40.553871],[-80.034923,40.55362],[-80.038216,40.553495],[-80.057187,40.552922],[-80.064723,40.552712],[-80.065735,40.566642]]]]},""properties"":{""MOVEMENT_ID"":""112"",""DISPLAY_NAME"":""300 Edwood Court, Pittsburgh"",""GEOID10"":""42003413300""}}","{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.065735,40.566642],[-80.061249,40.564738],[-80.06054,40.56307],[-80.059566,40.564132],[-80.05989,40.567459],[-80.056998,40.568667],[-80.054406,40.566157],[-80.052609,40.565857],[-80.049522,40.567971],[-80.048572,40.567227],[-80.044356,40.566765],[-80.04364,40.566496],[-80.039408,40.561063],[-80.036953,40.571939],[-80.023515,40.572129],[-80.023383,40.570362],[-80.024473,40.566171],[-80.025206,40.563312],[-80.025127,40.561757],[-80.024649,40.560488],[-80.020866,40.553871],[-80.034923,40.55362],[-80.038216,40.553495],[-80.057187,40.552922],[-80.064723,40.552712],[-80.065735,40.566642]]]]},""properties"":{""MOVEMENT_ID"":""112"",""DISPLAY_NAME"":""300 Edwood Court, Pittsburgh"",""GEOID10"":""42003413300""}}",
155,112,567,5,18,21447,33717909,125.710116459302,880.876790790006,42003413300,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.065735,40.566642],[-80.061249,40.564738],[-80.06054,40.56307],[-80.059566,40.564132],[-80.05989,40.567459],[-80.056998,40.568667],[-80.054406,40.566157],[-80.052609,40.565857],[-80.049522,40.567971],[-80.048572,40.567227],[-80.044356,40.566765],[-80.04364,40.566496],[-80.039408,40.561063],[-80.036953,40.571939],[-80.023515,40.572129],[-80.023383,40.570362],[-80.024473,40.566171],[-80.025206,40.563312],[-80.025127,40.561757],[-80.024649,40.560488],[-80.020866,40.553871],[-80.034923,40.55362],[-80.038216,40.553495],[-80.057187,40.552922],[-80.064723,40.552712],[-80.065735,40.566642]]]]},""properties"":{""MOVEMENT_ID"":""112"",""DISPLAY_NAME"":""300 Edwood Court, Pittsburgh"",""GEOID10"":""42003413300""}}",,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-80.065735,40.566642],[-80.061249,40.564738],[-80.06054,40.56307],[-80.059566,40.564132],[-80.05989,40.567459],[-80.056998,40.568667],[-80.054406,40.566157],[-80.052609,40.565857],[-80.049522,40.567971],[-80.048572,40.567227],[-80.044356,40.566765],[-80.04364,40.566496],[-80.039408,40.561063],[-80.036953,40.571939],[-80.023515,40.572129],[-80.023383,40.570362],[-80.024473,40.566171],[-80.025206,40.563312],[-80.025127,40.561757],[-80.024649,40.560488],[-80.020866,40.553871],[-80.034923,40.55362],[-80.038216,40.553495],[-80.057187,40.552922],[-80.064723,40.552712],[-80.065735,40.566642]]]]},""properties"":{""MOVEMENT_ID"":""112"",""DISPLAY_NAME"":""300 Edwood Court, Pittsburgh"",""GEOID10"":""42003413300""}}"
