,Processed File Name,Group,Year,geoBoundaryType,Boundary Level,Source 1,Source 2,License,License Detail,License Source,Link to Source Data-inaccurate; has some links to licenses,Link to Source Data,Recorder (Name),Last Updated Date
46,BGD_ADM3.zip,Bangladesh,2015,Humanitarian,ADM 3,Bangladesh Bureau of Statistics (BBS),United Nations Office for the Coordination of Humanitarian Affairs ROAP,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/administrative-boundaries-of-bangladesh-as-of-2015,No,https://data.humdata.org/dataset/administrative-boundaries-of-bangladesh-as-of-2015,,5/25/20
56,BGD_ADM4.zip,Bangladesh,2015,Humanitarian,ADM 4,Bangladesh Bureau of Statistics (BBS),United Nations Office for the Coordination of Humanitarian Affairs ROAP,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/administrative-boundaries-of-bangladesh-as-of-2015,No,https://data.humdata.org/dataset/administrative-boundaries-of-bangladesh-as-of-2015,,5/25/20
59,BLZ_ADM2.zip,Belize,2018,Humanitarian,ADM 2,Adele Ramos,ArcGIS Online,Non-Commercial Use Only,"Permission to non-commercially, open source distribution",https://twitter.com/WMgeoLab/status/1195455127680741376/photo/1,No,https://www.arcgis.com/home/item.html?id=43058799b9894955a4da87d19950d816,,5/25/20
62,BEN_ADM2.zip,Benin,2015,Humanitarian,ADM 2,Secondary Administrative Level Boundary (SALB) Project,United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (ROWCA),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/benin-administrative-boundaries,No,https://data.humdata.org/dataset/benin-administrative-boundaries,,5/25/20
75,BWA_ADM2.zip,Botswana,2015,Open & Humanitarian,ADM2,RCMRD,,Public Domain,PD,http://geoportal.rcmrd.org/layers/servir%3Abotswana_adm2#license-more-above,No,http://geoportal.rcmrd.org/layers/servir%3Abotswana_adm2#more,,5/25/20
85,BFA_ADM0.zip,Burkina Faso,2017,Open & Humanitarian,ADM 0,"Second Administrative Level Boundaries Project (SALB), Institut G̩ographique du Burkina Faso (IGB)",United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (Regional Office for West and Central Africa (ROWCA)),Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO),Creative Commons Attribution for Intergovernmental Organizations,https://data.humdata.org/dataset/burkina-faso-administrative-boundaries,No,https://data.humdata.org/dataset/burkina-faso-administrative-boundaries,,5/25/20
86,BFA_ADM1.zip,Burkina Faso,2017,Open & Humanitarian,ADM 1,"Second Administrative Level Boundaries Project (SALB), Institut G̩ographique du Burkina Faso (IGB)",United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (Regional Office for West and Central Africa (ROWCA)),Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO),Creative Commons Attribution for Intergovernmental Organizations,https://data.humdata.org/dataset/burkina-faso-administrative-boundaries,No,https://data.humdata.org/dataset/burkina-faso-administrative-boundaries,,5/25/20
87,BFA_ADM2.zip,Burkina Faso,2017,Open & Humanitarian,ADM 2,"Second Administrative Level Boundaries Project (SALB), Institut G̩ographique du Burkina Faso (IGB)",United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (Regional Office for West and Central Africa (ROWCA)),Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO),Creative Commons Attribution for Intergovernmental Organizations,https://data.humdata.org/dataset/burkina-faso-administrative-boundaries,No,https://data.humdata.org/dataset/burkina-faso-administrative-boundaries,,5/25/20
106,CPV_ADM2.zip,Cape Verde,2017,Humanitarian,ADM 2,Second Administrative Level Boundaries (SALB) Project,OCHA ROWCA,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/cape-verde-administrative-boundaries,No,https://data.humdata.org/dataset/cape-verde-administrative-boundaries,,5/25/20
107,CAF_ADM0.zip,Central African Republic,2017,Humanitarian,ADM 0,geoBoundaries,HDX,Open Data Commons Attribution License,Open Data Commons Attribution License,,No,https://data.humdata.org/dataset/car-administrative-boundaries-4-levels#,Sydney Fuhrig,6/23/20
108,CAF_ADM1.zip,Central African Republic,2017,Humanitarian,ADM 1,geoBoundaries,HDX,Open Data Commons Attribution License,Open Data Commons Attribution License,,No,https://data.humdata.org/dataset/car-administrative-boundaries-4-levels#,Sydney Fuhrig,6/23/20
109,CAF_ADM2.zip,Central African Republic,2017,Humanitarian,ADM 2,geoBoundaries,HDX,Open Data Commons Attribution License,Open Data Commons Attribution License,,No,https://data.humdata.org/dataset/car-administrative-boundaries-4-levels#,Sydney Fuhrig,6/23/20
110,CAF_ADM3.zip,Central African Republic,2017,Humanitarian,ADM 3,geoBoundaries,HDX,Open Data Commons Attribution License,Open Data Commons Attribution License,,No,https://data.humdata.org/dataset/car-administrative-boundaries-4-levels#,Sydney Fuhrig,6/23/20
113,CAF_ADM2.zip,Central African Republic,2016,Humanitarian,ADM 2,International Organization for Migration (IOM),OpenStreetMap,Non-Commercial Use Only,Non-commercial use only,https://www.humanitarianresponse.info/en/applications/data/page/terms-use,,https://data.humdata.org/dataset/central-african-republic-administrative-boundaries,,5/25/20
114,CAF_ADM3.zip,Central African Republic,2016,Humanitarian,ADM 3,International Organization for Migration (IOM),OpenStreetMap,Non-Commercial Use Only,Non-commercial use only,https://www.humanitarianresponse.info/en/applications/data/page/terms-use,,https://data.humdata.org/dataset/central-african-republic-administrative-boundaries,,5/25/20
117,TCD_ADM2.zip,Chad,2017,Humanitarian,ADM 2,"United Nations Office for the Coordination of Humanitarian Affairs, Chad",,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/chad-admin-boundaries-admin-1-and-admin-2,No,https://data.humdata.org/dataset/chad-admin-boundaries-admin-1-and-admin-2,,5/25/20
134,CIV_ADM0.zip,Cote d'Ivoire,2016,Humanitarian,ADM 0,Comit̩ National de T̩l̩d̩tection et d'Information G̩ographique (CNTIG),United Nations Office for the Coordination of Humanitarian Affairs Cote d'Ivoire,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/cote-d-ivoire-administrative-level-0-3-boundaries-and-points,No,https://data.humdata.org/dataset/cote-d-ivoire-administrative-level-0-3-boundaries-and-points,,5/25/20
135,CIV_ADM1.zip,Cote d'Ivoire,2016,Humanitarian,ADM 1,Comit̩ National de T̩l̩d̩tection et d'Information G̩ographique (CNTIG),United Nations Office for the Coordination of Humanitarian Affairs Cote d'Ivoire,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/cote-d-ivoire-administrative-level-0-3-boundaries-and-points,No,https://data.humdata.org/dataset/cote-d-ivoire-administrative-level-0-3-boundaries-and-points,,5/25/20
136,CIV_ADM2.zip,Cote d'Ivoire,2016,Humanitarian,ADM 2,Comit̩ National de T̩l̩d̩tection et d'Information G̩ographique (CNTIG),United Nations Office for the Coordination of Humanitarian Affairs Cote d'Ivoire,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/cote-d-ivoire-administrative-level-0-3-boundaries-and-points,No,https://data.humdata.org/dataset/cote-d-ivoire-administrative-level-0-3-boundaries-and-points,,5/25/20
137,CIV_ADM3.zip,Cote d'Ivoire,2016,Humanitarian,ADM 3,Comit̩ National de T̩l̩d̩tection et d'Information G̩ographique (CNTIG),United Nations Office for the Coordination of Humanitarian Affairs Cote d'Ivoire,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/cote-d-ivoire-administrative-level-0-3-boundaries-and-points,No,https://data.humdata.org/dataset/cote-d-ivoire-administrative-level-0-3-boundaries-and-points,,5/25/20
140,HRV_ADM2.zip,Croatia,2018,Authoritative & Humanitarian,ADM 2,Eurostat,,Open Government License v1.0,Non-Commercial Use Only,https://ec.europa.eu/eurostat/about/policies/copyright,No,http://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/communes,,5/25/20
161,DJI_ADM2.zip,Djibouti,2015,Humanitarian,ADM 2,HDX,,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/djibouti-administrative-levels-0-2-boundaries,No,https://data.humdata.org/dataset/djibouti-administrative-levels-0-2-boundaries,,5/25/20
172,EGY_ADM2.zip,Egypt,2017,Humanitarian,ADM 2,OCHA ROSEA/HDX,,Other - Humanitarian,Other - Humanitarian,https://data.humdata.org/dataset/egypt-administrative-boundaries-levels-0-3,No,https://data.humdata.org/dataset/egypt-administrative-boundaries-levels-0-3,,5/25/20
173,SLV_ADM0.zip,El Salvador,2015,Authoritative & Humanitarian,ADM 0,Centro Nacional de Registros,,Non-Commercial Use Only,Non-commercial use - Noted at the bottom of the page,https://www.cnr.gob.sv/geoportal-cnr/,,http://www.cnr.gob.sv/geoportal-cnr/,,5/25/20
174,SLV_ADM1.zip,El Salvador,2015,Authoritative & Humanitarian,ADM 1,Centro Nacional de Registros,,Non-Commercial Use Only,Non-commercial use - Noted at the bottom of the page,https://www.cnr.gob.sv/geoportal-cnr/,,http://www.cnr.gob.sv/geoportal-cnr/,,5/25/20
175,SLV_ADM2.zip,El Salvador,2015,Authoritative & Humanitarian,ADM 2,Centro Nacional de Registros,,Non-Commercial Use Only,Non-commercial use - Noted at the bottom of the page,https://www.cnr.gob.sv/geoportal-cnr/,,http://www.cnr.gob.sv/geoportal-cnr/,,5/25/20
181,ERI_ADM2.zip,Eritrea,2002,Humanitarian,ADM 2,OCHA ROSEA/HDX,2002 World Bank report for number of ADM2 divisions (http://documents.worldbank.org/curated/en/461991468770937666/pdf/297930PAPER000182131587616.pdf),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/eritrea-admin-level-1-boundaries,No,https://data.humdata.org/dataset/eritrea-admin-level-1-boundaries,,5/25/20
204,GAB_ADM0.zip,Gabon,2015,Humanitarian,ADM 0,Second Administrative Level Boundaries (SALB),United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (ROWCA),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/gabon-administrative-boundaries,No,https://data.humdata.org/dataset/gabon-administrative-boundaries,,5/25/20
205,GAB_ADM1.zip,Gabon,2015,Humanitarian,ADM 1,Second Administrative Level Boundaries (SALB),United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (ROWCA),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/gabon-administrative-boundaries,No,https://data.humdata.org/dataset/gabon-administrative-boundaries,,5/25/20
206,GAB_ADM2.zip,Gabon,2015,Humanitarian,ADM 2,Second Administrative Level Boundaries (SALB),United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (ROWCA),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/gabon-administrative-boundaries,No,https://data.humdata.org/dataset/gabon-administrative-boundaries,,5/25/20
207,GMB_ADM0.zip,Gambia,2017,Humanitarian,ADM 0,World Food Programme,United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (ROWCA),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/gambia-administrative-boundaries,No,https://data.humdata.org/dataset/gambia-administrative-boundaries,,5/25/20
208,GMB_ADM1.zip,Gambia,2017,Humanitarian,ADM 1,World Food Programme,United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (ROWCA),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/gambia-administrative-boundaries,No,https://data.humdata.org/dataset/gambia-administrative-boundaries,,5/25/20
209,GMB_ADM2.zip,Gambia,2017,Humanitarian,ADM 2,World Food Programme,United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (ROWCA),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/gambia-administrative-boundaries,No,https://data.humdata.org/dataset/gambia-administrative-boundaries,,5/25/20
217,GHA_ADM0.zip,Ghana,2015,Humanitarian,ADM 0,Global Administrative Unit Layers (GAUL),United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (ROWCA),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/ghana-administrative-boundaries,No,https://data.humdata.org/dataset/ghana-administrative-boundaries,,5/25/20
218,GHA_ADM1.zip,Ghana,2015,Humanitarian,ADM 1,Global Administrative Unit Layers (GAUL),United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (ROWCA),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/ghana-administrative-boundaries,No,https://data.humdata.org/dataset/ghana-administrative-boundaries,,5/25/20
219,GHA_ADM2.zip,Ghana,2006,Humanitarian,ADM 2,Global Administrative Unit Layers (GAUL),United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (ROWCA),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/ghana-administrative-boundaries,No,https://data.humdata.org/dataset/ghana-administrative-boundaries,,5/25/20
231,GIN_ADM0.zip,Guinea,2016,Humanitarian,ADM 0,World Food Programme,Derived from ADM3 layer,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/guinea-geodatabase,No,https://data.humdata.org/dataset/guinea-geodatabase,,5/25/20
232,GIN_ADM1.zip,Guinea,2016,Humanitarian,ADM 1,World Food Programme,Derived from ADM3 layer,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/guinea-geodatabase,No,https://data.humdata.org/dataset/guinea-geodatabase,,5/25/20
233,GIN_ADM2.zip,Guinea,2016,Humanitarian,ADM 2,World Food Programme,Derived from ADM3 layer,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/guinea-geodatabase,No,https://data.humdata.org/dataset/guinea-geodatabase,,5/25/20
234,GIN_ADM3.zip,Guinea,2016,Humanitarian,ADM 3,World Food Programme,International Organization on Migration,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/guinea-geodatabase,No,https://data.humdata.org/dataset/guinea-geodatabase,,5/25/20
240,GUY_ADM2.zip,Guyana,2002,Humanitarian,ADM2,OCHA ROSEA/HDX,,Other - Humanitarian,Other - Humanitarian,https://data.humdata.org/dataset/guyana-administrative-level-0-1-and-2-boundaries,No,https://data.world/ocha-fiss/9647d5cc-9de9-4974-a8be-62fb12c19ffe,,5/25/20
260,IDN_ADM2.zip,Indonesia,2017,Humanitarian,ADM 2,Badan Pusat Statistik (BPS - Statistics Indonesia),OCHA ROAP,Other - Humanitarian,Other - Humanitarian,https://data.humdata.org/about/license,No,https://data.humdata.org/dataset/indonesia-administrative-boundary-polygons-lines-and-places-levels-0-4b,,5/25/20
268,IRQ_ADM2.zip,Iraq,2019,Humanitarian,ADM2,Humanitarian Data Exchange,United Nations Office for the Coordination of Humanitarian Affairs Liberia,Other - Humanitarian,Other - Humanitarian,https://data.humdata.org/about/license,No,https://data.humdata.org/dataset/iraq-admin-level-1-boundaries,,5/25/20
295,KEN_ADM3.zip,Kenya,1999,Humanitarian,ADM 3,World Resources Institute,,Creative Commons Attribution 4.0 International (CC BY 4.0),Creative Commons Attribution - NonCommercial 4.0 International,http://datasets.wri.org/dataset/gini-index-by-constituency-in-kenya-1999,No,http://datasets.wri.org/dataset/gini-index-by-constituency-in-kenya-1999,,5/25/20
307,KGZ_ADM2.zip,Kyrgyzstan,2016,Authoritative & Humanitarian,ADM 2,Ministry of Emergency Situations of the Kyrgyz Republic,,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/kyrgyzstan-administrative-boundaries,No,https://data.humdata.org/dataset/kyrgyzstan-administrative-boundaries,,5/25/20
319,LSO_ADM2.zip,Lesotho,2020,Humanitarian,ADM 2,Humanitarian Data Exchange,,Other - Humanitarian,,https://data.humdata.org/dataset/lesotho-administrative-level-0-2-boundaries,,https://data.humdata.org/dataset/lesotho-administrative-level-0-2-boundaries,,5/25/20
320,LBR_ADM0.zip,Liberia,2017,Humanitarian,ADM 0,"Humanitarian Information Centre (HIC) for Liberia, UNMIL GIS Unit, UNMIL Electoral Division and NEC",United Nations Office for the Coordination of Humanitarian Affairs Liberia,Non-Commercial Use Only,"Free to adapt and redistribute, for non-commercial use",https://data.humdata.org/about/license/legacy_hrinfo,No,https://data.humdata.org/dataset/liberia-admin-level-2-boundaries,,5/25/20
321,LBR_ADM1.zip,Liberia,2017,Humanitarian,ADM 1,"Humanitarian Information Centre (HIC) for Liberia, UNMIL GIS Unit, UNMIL Electoral Division and NEC",United Nations Office for the Coordination of Humanitarian Affairs Liberia,Non-Commercial Use Only,"Free to adapt and redistribute, for non-commercial use",https://data.humdata.org/about/license/legacy_hrinfo,No,https://data.humdata.org/dataset/liberia-admin-level-2-boundaries,,5/25/20
322,LBR_ADM2.zip,Liberia,2017,Humanitarian,ADM 2,"Humanitarian Information Centre (HIC) for Liberia, UNMIL GIS Unit, UNMIL Electoral Division and NEC",United Nations Office for the Coordination of Humanitarian Affairs Liberia,Non-Commercial Use Only,"Free to adapt and redistribute, for non-commercial use",https://data.humdata.org/about/license/legacy_hrinfo,No,https://data.humdata.org/dataset/liberia-admin-level-2-boundaries,,5/25/20
340,MDG_ADM2.zip,Madagascar,2017,Humanitarian,ADM 2,United Nations Office for the Coordination of Humanitarian Affairs ROSA,,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/madagascar-administrative-level-0-4-boundaries,No,https://data.humdata.org/dataset/madagascar-administrative-level-0-4-boundaries,,5/25/20
341,MDG_ADM3.zip,Madagascar,2017,Humanitarian,ADM 3,United Nations Office for the Coordination of Humanitarian Affairs ROSA,,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/madagascar-administrative-level-0-4-boundaries,No,https://data.humdata.org/dataset/madagascar-administrative-level-0-4-boundaries,,5/25/20
342,LKA_ADM4.zip,Sri Lanka,2017,Authoritative & Humanitarian,ADM 4,"The Survey Department of Sri Lanka, National Building Research Organisation (NBRO), Disaster Management Centre (DMC)",United Nations Office for the Coordination of Humanitarian Affairs Regional Office for Asia and the Pacific (ROAP),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/about/license,No,https://data.humdata.org/dataset/sri-lanka-administrative-levels-0-4-boundaries,,5/25/20
346,MWI_ADM3.zip,Malawi,2008,Authoritative & Humanitarian,ADM 3,OCHA,National Statistical Office of Malawi,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/malawi-administrative-level-0-3-boundaries,No,https://data.humdata.org/dataset/malawi-administrative-level-0-3-boundaries,,5/25/20
352,MLI_ADM0.zip,Mali,2015,Open & Authoritative & Humanitarian,ADM 0,"DNCT - Direction Nationale des Colelctivit̩s Territorielles, DNP - Direction Nationale de la Population","United Nations Office for the Coordination of Humanitarian Affairs, Mali",Creative Commons Attribution 4.0 International (CC BY 4.0),Noted in metadata tab,https://data.humdata.org/dataset/mali-admin-boundaries-level-1-2-and-3-including-2017-population-desagregated-by-sexe,No,https://data.humdata.org/dataset/mali-admin-boundaries-level-1-2-and-3-including-2017-population-desagregated-by-sexe,,5/25/20
353,MLI_ADM1.zip,Mali,2015,Open & Authoritative & Humanitarian,ADM 1,"DNCT - Direction Nationale des Colelctivit̩s Territorielles, DNP - Direction Nationale de la Population","United Nations Office for the Coordination of Humanitarian Affairs, Mali",Creative Commons Attribution 4.0 International (CC BY 4.0),Noted in metadata tab,https://data.humdata.org/dataset/mali-admin-boundaries-level-1-2-and-3-including-2017-population-desagregated-by-sexe,No,https://data.humdata.org/dataset/mali-admin-boundaries-level-1-2-and-3-including-2017-population-desagregated-by-sexe,,5/25/20
354,MLI_ADM2.zip,Mali,2015,Open & Authoritative & Humanitarian,ADM 2,"DNCT - Direction Nationale des Colelctivit̩s Territorielles, DNP - Direction Nationale de la Population","United Nations Office for the Coordination of Humanitarian Affairs, Mali",Creative Commons Attribution 4.0 International (CC BY 4.0),Noted in metadata tab,https://data.humdata.org/dataset/mali-admin-boundaries-level-1-2-and-3-including-2017-population-desagregated-by-sexe,No,https://data.humdata.org/dataset/mali-admin-boundaries-level-1-2-and-3-including-2017-population-desagregated-by-sexe,,5/25/20
355,MLI_ADM3.zip,Mali,2015,Open & Authoritative & Humanitarian,ADM 3,"DNCT - Direction Nationale des Colelctivit̩s Territorielles, DNP - Direction Nationale de la Population","United Nations Office for the Coordination of Humanitarian Affairs, Mali",Creative Commons Attribution 4.0 International (CC BY 4.0),Noted in metadata tab,https://data.humdata.org/dataset/mali-admin-boundaries-level-1-2-and-3-including-2017-population-desagregated-by-sexe,No,https://data.humdata.org/dataset/mali-admin-boundaries-level-1-2-and-3-including-2017-population-desagregated-by-sexe,,5/25/20
360,MRT_ADM0.zip,Mauritania,2013,Humanitarian,ADM 0,World Food Programme,United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (Regional Office for West and Central Africa (ROWCA)),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/mauritania-administrative-boundaries,No,https://data.humdata.org/dataset/mauritania-administrative-boundaries,,5/25/20
361,MRT_ADM1.zip,Mauritania,2013,Humanitarian,ADM 1,World Food Programme,United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (Regional Office for West and Central Africa (ROWCA)),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/mauritania-administrative-boundaries,No,https://data.humdata.org/dataset/mauritania-administrative-boundaries,,5/25/20
362,MRT_ADM2.zip,Mauritania,2009,Humanitarian,ADM 2,World Food Programme,United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (Regional Office for West and Central Africa (ROWCA)),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/mauritania-administrative-boundaries,No,https://data.humdata.org/dataset/mauritania-administrative-boundaries,,5/25/20
386,MOZ_ADM2.zip,Mozambique,2017,Humanitarian,ADM 2,"World Food Programme, INE",Derived from ADM3 layer,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/mozambique-administrative-levels-0-3,No,https://data.humdata.org/dataset/mozambique-administrative-levels-0-3,,5/25/20
387,MOZ_ADM3.zip,Mozambique,2017,Humanitarian,ADM 3,"World Food Programme, INE",United Nations Office for the Coordination of Humanitarian Affairs Regional Office for Southern Africa (ROSA),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/mozambique-administrative-levels-0-3,No,https://data.humdata.org/dataset/mozambique-administrative-levels-0-3,,5/25/20
397,NPL_ADM0.zip,Nepal,2017,Authoritative & Humanitarian,ADM 0,Nepal Survey Department,United Nations Office for the Coordination of Humanitarian Affairs Regional Office for Asia and the Pacific (ROAP),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/administrative-bounadries-of-nepal,No,https://data.humdata.org/dataset/administrative-bounadries-of-nepal,,5/25/20
398,NPL_ADM1.zip,Nepal,2017,Authoritative & Humanitarian,ADM 1,Nepal Survey Department,United Nations Office for the Coordination of Humanitarian Affairs Regional Office for Asia and the Pacific (ROAP),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/administrative-bounadries-of-nepal,No,https://data.humdata.org/dataset/administrative-bounadries-of-nepal,,5/25/20
399,NPL_ADM2.zip,Nepal,2017,Authoritative & Humanitarian,ADM 2,Nepal Survey Department,United Nations Office for the Coordination of Humanitarian Affairs Regional Office for Asia and the Pacific (ROAP),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/administrative-bounadries-of-nepal,No,https://data.humdata.org/dataset/administrative-bounadries-of-nepal,,5/25/20
410,NER_ADM0.zip,Niger,2014,Humanitarian,ADM 0,IGNN,United Nations Office for the Coordination of Humanitarian Affairs Niger,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/niger-administrative-boundaries,No,https://data.humdata.org/dataset/niger-administrative-boundaries,,5/25/20
