NEW OR REMOVED: 
              0
QAT_ADM0.zip  1
QAT_ADM0      1
ISO ATG | ADM1 Metadata changed, but the file did not.
ISO BGD | ADM1 Metadata changed, but the file did not.
ISO BEN | ADM0 Metadata changed, but the file did not.
ISO ARG | ADM0 Metadata changed, but the file did not.
ISO BEL | ADM4 Metadata changed, but the file did not.
ISO BRA | ADM1 Metadata changed, but the file did not.
ISO BTN | ADM1 Metadata changed, but the file did not.
ISO BTN | ADM0 Metadata changed, but the file did not.
ISO BOL | ADM2 Metadata changed, but the file did not.
ISO BLR | ADM2 Metadata changed, but the file did not.
ISO BLZ | ADM2 Metadata changed, but the file did not.
ISO BFA | ADM0 Metadata changed, but the file did not.
ISO BOL | ADM1 Metadata changed, but the file did not.
ISO BEN | ADM1 Metadata changed, but the file did not.
ISO BDI | ADM0 Metadata changed, but the file did not.
ISO BEL | ADM2 Metadata changed, but the file did not.
ISO KHM | ADM1 Metadata changed, but the file did not.
ISO BRB | ADM0 Metadata changed, but the file did not.
ISO BWA | ADM1 Metadata changed, but the file did not.
ISO BIH | ADM0 Metadata changed, but the file did not.
ISO CAN | ADM0 Metadata changed, but the file did not.
ISO CMR | ADM1 Metadata changed, but the file did not.
ISO BGR | ADM1 Metadata changed, but the file did not.
ISO BGR | ADM0 Metadata changed, but the file did not.
ISO BIH | ADM1 Metadata changed, but the file did not.
ISO ATG | ADM0 Metadata changed, but the file did not.
ISO BOL | ADM0 Metadata changed, but the file did not.
ISO CPV | ADM0 Metadata changed, but the file did not.
ISO CAF | ADM1 Metadata changed, but the file did not.
ISO AFG | ADM2 Metadata changed, but the file did not.
ISO BIH | ADM2 Metadata changed, but the file did not.
ISO BRN | ADM1 Metadata changed, but the file did not.
ISO BRA | ADM0 Metadata changed, but the file did not.
ISO BWA | ADM2 Metadata changed, but the file did not.
ISO TCD | ADM1 Metadata changed, but the file did not.
ISO BFA | ADM3 Metadata changed, but the file did not.
ISO BGR | ADM2 Metadata changed, but the file did not.
ISO CHL | ADM2 Metadata changed, but the file did not.
ISO BFA | ADM1 Metadata changed, but the file did not.
ISO COL | ADM1 Metadata changed, but the file did not.
ISO BDI | ADM1 Metadata changed, but the file did not.
ISO KHM | ADM2 Metadata changed, but the file did not.
ISO CAN | ADM3 Metadata changed, but the file did not.
ISO KHM | ADM3 Metadata changed, but the file did not.
ISO KHM | ADM0 Metadata changed, but the file did not.
ISO COM | ADM0 Metadata changed, but the file did not.
ISO BFA | ADM2 Metadata changed, but the file did not.
ISO CRI | ADM1 Metadata changed, but the file did not.
ISO CMR | ADM0 Metadata changed, but the file did not.
ISO BDI | ADM2 Metadata changed, but the file did not.
ISO CAN | ADM1 Metadata changed, but the file did not.
ISO TCD | ADM2 Metadata changed, but the file did not.
ISO CRI | ADM3 Metadata changed, but the file did not.
ISO CIV | ADM3 Metadata changed, but the file did not.
ISO CHL | ADM0 Metadata changed, but the file did not.
ISO BRN | ADM0 Metadata changed, but the file did not.
ISO CMR | ADM2 Metadata changed, but the file did not.
ISO CUB | ADM2 Metadata changed, but the file did not.
ISO CUB | ADM0 Metadata changed, but the file did not.
ISO CPV | ADM2 Metadata changed, but the file did not.
ISO CHL | ADM1 Metadata changed, but the file did not.
ISO CAF | ADM0 Metadata changed, but the file did not.
ISO CIV | ADM0 Metadata changed, but the file did not.
ISO CYP | ADM1 Metadata changed, but the file did not.
ISO CHN | ADM1 Metadata changed, but the file did not.
ISO TCD | ADM0 Metadata changed, but the file did not.
ISO COL | ADM0 Metadata changed, but the file did not.
ISO COD | ADM1 Metadata changed, but the file did not.
ISO COD | ADM2 Metadata changed, but the file did not.
ISO CPV | ADM1 Metadata changed, but the file did not.
ISO CHN | ADM2 Metadata changed, but the file did not.
ISO HRV | ADM1 Metadata changed, but the file did not.
ISO DNK | ADM1 Metadata changed, but the file did not.
ISO CZE | ADM2 Metadata changed, but the file did not.
ISO CYP | ADM0 Metadata changed, but the file did not.
ISO CRI | ADM2 Metadata changed, but the file did not.
ISO CUB | ADM1 Metadata changed, but the file did not.
ISO CIV | ADM1 Metadata changed, but the file did not.
ISO CIV | ADM2 Metadata changed, but the file did not.
ISO CMR | ADM3 Metadata changed, but the file did not.
ISO DJI | ADM2 Metadata changed, but the file did not.
ISO CAF | ADM3 Metadata changed, but the file did not.
ISO CAF | ADM2 Metadata changed, but the file did not.
ISO CHN | ADM0 Metadata changed, but the file did not.
ISO DOM | ADM1 Metadata changed, but the file did not.
ISO CRI | ADM0 Metadata changed, but the file did not.
ISO ECU | ADM2 Metadata changed, but the file did not.
ISO BRA | ADM2: At least one feature had a minor topological issue, fixed by shapely buffer=0.
ISO BRA | ADM2: At least one feature had a minor topological issue, fixed by shapely buffer=0.
ISO BRA | ADM2: At least one feature had a minor topological issue, fixed by shapely buffer=0.
ISO BRA | ADM2: At least one feature had a minor topological issue, fixed by shapely buffer=0.
ISO SLV | ADM0 Metadata changed, but the file did not.
ISO COD | ADM3 Metadata changed, but the file did not.
ISO COM | ADM1 Metadata changed, but the file did not.
ISO DNK | ADM2 Metadata changed, but the file did not.
ISO GNQ | ADM1 Metadata changed, but the file did not.
ISO BRA | ADM2: At least one feature had a minor topological issue, fixed by shapely buffer=0.
ISO GNQ | ADM0 Metadata changed, but the file did not.
ISO GNQ | ADM2 Metadata changed, but the file did not.
ISO SLV | ADM2 Metadata changed, but the file did not.
ISO COL | ADM2: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/COL/ADM2/COL_ADM2.shp
ISO BRA | ADM2: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/BRA/ADM2/BRA_ADM2.shp
ISO DMA | ADM1 Metadata changed, but the file did not.
ISO CZE | ADM4 Metadata changed, but the file did not.
ISO ERI | ADM1 Metadata changed, but the file did not.
ISO HRV | ADM0 Metadata changed, but the file did not.
ISO COD | ADM0 Metadata changed, but the file did not.
ISO CZE | ADM1 Metadata changed, but the file did not.
ISO CHN | ADM3: No ISO information was found in a validly named column for: /home/cdsw/gbRelease/gbRawData/current/CHN/ADM3/CHN_ADM3.shp
ISO EST | ADM3 Metadata changed, but the file did not.
ISO ETH | ADM3 Metadata changed, but the file did not.
ISO HRV | ADM2 Metadata changed, but the file did not.
ISO ERI | ADM2 Metadata changed, but the file did not.
ISO FJI | ADM3 Metadata changed, but the file did not.
ISO FIN | ADM0 Metadata changed, but the file did not.
ISO FJI | ADM4 Metadata changed, but the file did not.
ISO DOM | ADM2 Metadata changed, but the file did not.
ISO DNK | ADM0 Metadata changed, but the file did not.
ISO ECU | ADM1 Metadata changed, but the file did not.
ISO EGY | ADM0 Metadata changed, but the file did not.
ISO CZE | ADM3 Metadata changed, but the file did not.
ISO FIN | ADM2 Metadata changed, but the file did not.
ISO DJI | ADM0 Metadata changed, but the file did not.
ISO FRA | ADM2 Metadata changed, but the file did not.
ISO DMA | ADM0 Metadata changed, but the file did not.
ISO ETH | ADM1 Metadata changed, but the file did not.
ISO GAB | ADM1 Metadata changed, but the file did not.
ISO FIN | ADM1 Metadata changed, but the file did not.
ISO ETH | ADM2 Metadata changed, but the file did not.
ISO CAN | ADM2 Metadata changed, but the file did not.
ISO ECU | ADM0 Metadata changed, but the file did not.
ISO ERI | ADM0 Metadata changed, but the file did not.
ISO GMB | ADM1 Metadata changed, but the file did not.
ISO SLV | ADM1 Metadata changed, but the file did not.
ISO EGY | ADM1 Metadata changed, but the file did not.
ISO ETH | ADM0 Metadata changed, but the file did not.
ISO FJI | ADM1 Metadata changed, but the file did not.
ISO FIN | ADM3 Metadata changed, but the file did not.
ISO DOM | ADM0 Metadata changed, but the file did not.
ISO DEU | ADM3 Metadata changed, but the file did not.
ISO GRC | ADM0 Metadata changed, but the file did not.
ISO EGY | ADM2 Metadata changed, but the file did not.
ISO CZE | ADM0 Metadata changed, but the file did not.
